,Category,Average_Score
0,ART_AND_DESIGN,3.073446327683616
1,AUTO_AND_VEHICLES,3.3992932862190814
2,BEAUTY,1.5899053627760253
3,BOOKS_AND_REFERENCE,2.619124797406807
4,BUSINESS,1.8493150684931507
5,COMICS,3.511111111111112
6,COMMUNICATION,1.6491228070175439
7,DATING,2.140754369825207
8,EDUCATION,3.122241086587436
9,ENTERTAINMENT,1.611727416798732
10,EVENTS,2.782051282051282
11,FAMILY,3.059169114561477
12,FINANCE,1.7380239520958083
13,FOOD_AND_DRINK,2.7169811320754715
14,GAME,3.291230692575984
15,HEALTH_AND_FITNESS,3.64589759407773
16,HOUSE_AND_HOME,1.7820224719101123
17,LIBRARIES_AND_DEMO,2.5963855421686746
18,LIFESTYLE,2.4652278177458036
19,MAPS_AND_NAVIGATION,2.0476190476190474
20,MEDICAL,2.7577854671280275
21,NEWS_AND_MAGAZINES,1.3424283765347886
22,PARENTING,3.5546875
23,PERSONALIZATION,2.691987513007284
24,PHOTOGRAPHY,2.554083885209713
25,PRODUCTIVITY,2.724229074889868
26,SHOPPING,2.3081664098613253
27,SOCIAL,1.2450832072617246
28,SPORTS,2.1652960526315788
29,TOOLS,1.84620886981402
30,TRAVEL_AND_LOCAL,1.884297520661157
31,VIDEO_PLAYERS,1.4938650306748467
32,WEATHER,1.8505154639175259
